# omega DOS_nb9 DOS_nb19 DOS_nb29 DOS_nb39 DOS_nb49
-1.604000000000000092e+00 6.340000000000000149e-03 6.100000000000000387e-03 6.239999999999999887e-03 6.159999999999999677e-03 6.080000000000000335e-03
-1.600000000000000089e+00 6.360000000000000202e-03 6.159999999999999677e-03 6.320000000000000097e-03 6.219999999999999835e-03 6.119999999999999572e-03
-1.596000000000000085e+00 6.400000000000000307e-03 6.219999999999999835e-03 6.380000000000000254e-03 6.279999999999999992e-03 6.179999999999999730e-03
-1.592000000000000082e+00 6.459999999999999597e-03 6.279999999999999992e-03 6.420000000000000359e-03 6.360000000000000202e-03 6.219999999999999835e-03
-1.588000000000000078e+00 6.519999999999999754e-03 6.360000000000000202e-03 6.420000000000000359e-03 6.440000000000000412e-03 6.300000000000000044e-03
-1.584000000000000075e+00 6.559999999999999859e-03 6.440000000000000412e-03 6.420000000000000359e-03 6.519999999999999754e-03 6.380000000000000254e-03
-1.580000000000000071e+00 6.579999999999999911e-03 6.519999999999999754e-03 6.420000000000000359e-03 6.559999999999999859e-03 6.459999999999999597e-03
-1.576000000000000068e+00 6.579999999999999911e-03 6.579999999999999911e-03 6.420000000000000359e-03 6.579999999999999911e-03 6.559999999999999859e-03
-1.572000000000000064e+00 6.579999999999999911e-03 6.620000000000000016e-03 6.440000000000000412e-03 6.579999999999999911e-03 6.660000000000000121e-03
-1.568000000000000060e+00 6.579999999999999911e-03 6.660000000000000121e-03 6.479999999999999649e-03 6.579999999999999911e-03 6.740000000000000331e-03
-1.564000000000000057e+00 6.599999999999999964e-03 6.680000000000000174e-03 6.519999999999999754e-03 6.579999999999999911e-03 6.799999999999999621e-03
-1.560000000000000053e+00 6.620000000000000016e-03 6.700000000000000226e-03 6.559999999999999859e-03 6.599999999999999964e-03 6.839999999999999726e-03
-1.556000000000000050e+00 6.660000000000000121e-03 6.740000000000000331e-03 6.620000000000000016e-03 6.620000000000000016e-03 6.839999999999999726e-03
-1.552000000000000046e+00 6.700000000000000226e-03 6.799999999999999621e-03 6.680000000000000174e-03 6.660000000000000121e-03 6.819999999999999674e-03
-1.548000000000000043e+00 6.760000000000000384e-03 6.879999999999999831e-03 6.760000000000000384e-03 6.700000000000000226e-03 6.819999999999999674e-03
-1.544000000000000039e+00 6.839999999999999726e-03 6.960000000000000041e-03 6.859999999999999779e-03 6.760000000000000384e-03 6.819999999999999674e-03
-1.540000000000000036e+00 6.919999999999999936e-03 7.080000000000000356e-03 6.980000000000000093e-03 6.819999999999999674e-03 6.859999999999999779e-03
-1.536000000000000032e+00 7.020000000000000198e-03 7.199999999999999803e-03 7.100000000000000408e-03 6.919999999999999936e-03 6.879999999999999831e-03
-1.532000000000000028e+00 7.139999999999999646e-03 7.320000000000000118e-03 7.219999999999999855e-03 7.000000000000000146e-03 6.939999999999999988e-03
-1.528000000000000025e+00 7.259999999999999960e-03 7.400000000000000328e-03 7.320000000000000118e-03 7.119999999999999593e-03 7.000000000000000146e-03
-1.524000000000000021e+00 7.360000000000000223e-03 7.440000000000000432e-03 7.400000000000000328e-03 7.259999999999999960e-03 7.080000000000000356e-03
-1.520000000000000018e+00 7.440000000000000432e-03 7.459999999999999618e-03 7.440000000000000432e-03 7.380000000000000275e-03 7.179999999999999750e-03
-1.516000000000000014e+00 7.519999999999999775e-03 7.440000000000000432e-03 7.440000000000000432e-03 7.519999999999999775e-03 7.300000000000000065e-03
-1.512000000000000011e+00 7.579999999999999932e-03 7.440000000000000432e-03 7.420000000000000380e-03 7.620000000000000037e-03 7.420000000000000380e-03
-1.508000000000000007e+00 7.660000000000000142e-03 7.440000000000000432e-03 7.420000000000000380e-03 7.680000000000000195e-03 7.579999999999999932e-03
-1.504000000000000004e+00 7.760000000000000404e-03 7.459999999999999618e-03 7.440000000000000432e-03 7.700000000000000247e-03 7.740000000000000352e-03
-1.500000000000000000e+00 7.860000000000000667e-03 7.499999999999999722e-03 7.479999999999999670e-03 7.680000000000000195e-03 7.900000000000000772e-03
-1.495999999999999996e+00 7.939999999999999142e-03 7.579999999999999932e-03 7.539999999999999827e-03 7.660000000000000142e-03 8.000000000000000167e-03
-1.491999999999999993e+00 7.979999999999999247e-03 7.660000000000000142e-03 7.620000000000000037e-03 7.660000000000000142e-03 8.040000000000000271e-03
-1.487999999999999989e+00 7.960000000000000062e-03 7.779999999999999589e-03 7.720000000000000299e-03 7.680000000000000195e-03 8.019999999999999352e-03
-1.483999999999999986e+00 7.939999999999999142e-03 7.939999999999999142e-03 7.860000000000000667e-03 7.740000000000000352e-03 7.979999999999999247e-03
-1.479999999999999982e+00 7.919999999999999957e-03 8.099999999999999561e-03 8.019999999999999352e-03 7.799999999999999642e-03 7.939999999999999142e-03
-1.475999999999999979e+00 7.900000000000000772e-03 8.279999999999999166e-03 8.179999999999999771e-03 7.900000000000000772e-03 7.919999999999999957e-03
-1.471999999999999975e+00 7.919999999999999957e-03 8.439999999999999586e-03 8.340000000000000191e-03 8.040000000000000271e-03 7.919999999999999957e-03
-1.467999999999999972e+00 7.960000000000000062e-03 8.559999999999999901e-03 8.479999999999999691e-03 8.200000000000000691e-03 7.939999999999999142e-03
-1.463999999999999968e+00 8.000000000000000167e-03 8.600000000000000006e-03 8.519999999999999796e-03 8.359999999999999376e-03 8.000000000000000167e-03
-1.459999999999999964e+00 8.080000000000000376e-03 8.580000000000000820e-03 8.519999999999999796e-03 8.540000000000000716e-03 8.080000000000000376e-03
-1.455999999999999961e+00 8.200000000000000691e-03 8.519999999999999796e-03 8.479999999999999691e-03 8.699999999999999400e-03 8.179999999999999771e-03
-1.451999999999999957e+00 8.319999999999999271e-03 8.479999999999999691e-03 8.439999999999999586e-03 8.779999999999999610e-03 8.319999999999999271e-03
-1.447999999999999954e+00 8.460000000000000506e-03 8.460000000000000506e-03 8.420000000000000401e-03 8.800000000000000530e-03 8.479999999999999691e-03
-1.443999999999999950e+00 8.600000000000000006e-03 8.460000000000000506e-03 8.420000000000000401e-03 8.760000000000000425e-03 8.640000000000000110e-03
-1.439999999999999947e+00 8.739999999999999505e-03 8.500000000000000611e-03 8.460000000000000506e-03 8.699999999999999400e-03 8.800000000000000530e-03
-1.435999999999999943e+00 8.840000000000000635e-03 8.580000000000000820e-03 8.519999999999999796e-03 8.659999999999999296e-03 8.899999999999999925e-03
-1.431999999999999940e+00 8.899999999999999925e-03 8.680000000000000215e-03 8.600000000000000006e-03 8.659999999999999296e-03 8.940000000000000030e-03
-1.427999999999999936e+00 8.959999999999999215e-03 8.819999999999999715e-03 8.739999999999999505e-03 8.680000000000000215e-03 8.920000000000000845e-03
-1.423999999999999932e+00 9.020000000000000240e-03 8.980000000000000135e-03 8.899999999999999925e-03 8.720000000000000320e-03 8.880000000000000740e-03
-1.419999999999999929e+00 9.100000000000000450e-03 9.180000000000000659e-03 9.100000000000000450e-03 8.800000000000000530e-03 8.840000000000000635e-03
-1.415999999999999925e+00 9.220000000000000764e-03 9.400000000000000369e-03 9.339999999999999344e-03 8.920000000000000845e-03 8.819999999999999715e-03
-1.411999999999999922e+00 9.400000000000000369e-03 9.579999999999999974e-03 9.599999999999999159e-03 9.079999999999999530e-03 8.819999999999999715e-03
-1.407999999999999918e+00 9.599999999999999159e-03 9.679999999999999369e-03 9.860000000000000708e-03 9.259999999999999135e-03 8.840000000000000635e-03
-1.403999999999999915e+00 9.799999999999999684e-03 9.719999999999999474e-03 1.008000000000000042e-02 9.499999999999999764e-03 8.899999999999999925e-03
-1.399999999999999911e+00 9.979999999999999288e-03 9.679999999999999369e-03 1.020000000000000073e-02 9.759999999999999579e-03 8.980000000000000135e-03
-1.395999999999999908e+00 1.008000000000000042e-02 9.639999999999999264e-03 1.020000000000000073e-02 1.005999999999999950e-02 9.079999999999999530e-03
-1.391999999999999904e+00 1.009999999999999960e-02 9.599999999999999159e-03 1.009999999999999960e-02 1.031999999999999931e-02 9.220000000000000764e-03
-1.387999999999999901e+00 1.005999999999999950e-02 9.599999999999999159e-03 1.000000000000000021e-02 1.051999999999999984e-02 9.360000000000000264e-03
-1.383999999999999897e+00 1.001999999999999939e-02 9.639999999999999264e-03 9.900000000000000813e-03 1.058000000000000086e-02 9.560000000000000789e-03
-1.379999999999999893e+00 1.000000000000000021e-02 9.740000000000000394e-03 9.839999999999999789e-03 1.051999999999999984e-02 9.780000000000000498e-03
-1.375999999999999890e+00 1.004000000000000031e-02 9.860000000000000708e-03 9.820000000000000603e-03 1.039999999999999952e-02 1.005999999999999950e-02
-1.372000000000000108e+00 1.012000000000000052e-02 1.004000000000000031e-02 9.860000000000000708e-03 1.026000000000000002e-02 1.035999999999999942e-02
-1.368000000000000105e+00 1.024000000000000084e-02 1.026000000000000002e-02 9.939999999999999183e-03 1.017999999999999981e-02 1.068000000000000026e-02
-1.364000000000000101e+00 1.042000000000000044e-02 1.047999999999999973e-02 1.005999999999999950e-02 1.012000000000000052e-02 1.094000000000000007e-02
-1.360000000000000098e+00 1.061999999999999923e-02 1.069999999999999944e-02 1.021999999999999992e-02 1.012000000000000052e-02 1.110000000000000049e-02
-1.356000000000000094e+00 1.081999999999999976e-02 1.085999999999999986e-02 1.043999999999999963e-02 1.017999999999999981e-02 1.114000000000000060e-02
-1.352000000000000091e+00 1.099999999999999936e-02 1.089999999999999997e-02 1.069999999999999944e-02 1.026000000000000002e-02 1.110000000000000049e-02
-1.348000000000000087e+00 1.114000000000000060e-02 1.088000000000000078e-02 1.094000000000000007e-02 1.039999999999999952e-02 1.099999999999999936e-02
-1.344000000000000083e+00 1.125999999999999918e-02 1.084000000000000068e-02 1.115999999999999978e-02 1.060000000000000005e-02 1.094000000000000007e-02
-1.340000000000000080e+00 1.140000000000000041e-02 1.077999999999999965e-02 1.128000000000000010e-02 1.081999999999999976e-02 1.094000000000000007e-02
-1.336000000000000076e+00 1.158000000000000002e-02 1.077999999999999965e-02 1.129999999999999928e-02 1.110000000000000049e-02 1.098000000000000018e-02
-1.332000000000000073e+00 1.183999999999999983e-02 1.081999999999999976e-02 1.123999999999999999e-02 1.136000000000000031e-02 1.107999999999999957e-02
-1.328000000000000069e+00 1.216000000000000067e-02 1.091999999999999915e-02 1.114000000000000060e-02 1.156000000000000083e-02 1.125999999999999918e-02
-1.324000000000000066e+00 1.250000000000000069e-02 1.106000000000000039e-02 1.107999999999999957e-02 1.167999999999999941e-02 1.152000000000000073e-02
-1.320000000000000062e+00 1.284000000000000072e-02 1.125999999999999918e-02 1.106000000000000039e-02 1.167999999999999941e-02 1.183999999999999983e-02
-1.316000000000000059e+00 1.303999999999999951e-02 1.149999999999999981e-02 1.106000000000000039e-02 1.162000000000000012e-02 1.221999999999999996e-02
-1.312000000000000055e+00 1.306000000000000043e-02 1.178000000000000054e-02 1.114000000000000060e-02 1.153999999999999991e-02 1.261999999999999927e-02
-1.308000000000000052e+00 1.295999999999999930e-02 1.205999999999999954e-02 1.123999999999999999e-02 1.148000000000000062e-02 1.298000000000000022e-02
-1.304000000000000048e+00 1.277999999999999969e-02 1.230000000000000017e-02 1.140000000000000041e-02 1.148000000000000062e-02 1.322000000000000085e-02
-1.300000000000000044e+00 1.264000000000000019e-02 1.243999999999999967e-02 1.159999999999999920e-02 1.152000000000000073e-02 1.325999999999999922e-02
