# omega DOS_nb8 DOS_nb18 DOS_nb28 DOS_nb38 DOS_nb48
-1.840000000000000080e+00 2.220000000000000185e-03 1.768666666666666651e-02 7.226666666666666829e-03 6.239999999999999887e-03 5.840000000000000573e-03
-1.836000000000000076e+00 2.220000000000000185e-03 1.537999999999999957e-02 6.566666666666665965e-03 5.806666666666667441e-03 5.479999999999999628e-03
-1.832000000000000073e+00 2.226666666666666725e-03 1.317999999999999901e-02 5.953333333333333914e-03 5.386666666666667207e-03 5.160000000000000524e-03
-1.828000000000000069e+00 2.233333333333333264e-03 1.125999999999999918e-02 5.420000000000000338e-03 4.986666666666666158e-03 4.859999999999999737e-03
-1.824000000000000066e+00 2.246666666666666777e-03 9.666666666666667157e-03 4.959999999999999999e-03 4.619999999999999975e-03 4.559999999999999817e-03
-1.820000000000000062e+00 2.259999999999999856e-03 8.380000000000000296e-03 4.579999999999999870e-03 4.300000000000000003e-03 4.273333333333332977e-03
-1.816000000000000059e+00 2.279999999999999909e-03 7.346666666666667143e-03 4.266666666666666871e-03 4.033333333333333215e-03 4.020000000000000136e-03
-1.812000000000000055e+00 2.306666666666666501e-03 6.526666666666666727e-03 4.013333333333333162e-03 3.820000000000000045e-03 3.806666666666666532e-03
-1.808000000000000052e+00 2.326666666666666553e-03 5.873333333333333704e-03 3.806666666666666532e-03 3.639999999999999573e-03 3.626666666666666927e-03
-1.804000000000000048e+00 2.353333333333333579e-03 5.353333333333334075e-03 3.633333333333333467e-03 3.493333333333333100e-03 3.486666666666666994e-03
-1.800000000000000044e+00 2.379999999999999737e-03 4.933333333333333841e-03 3.500000000000000073e-03 3.379999999999999758e-03 3.373333333333333652e-03
-1.796000000000000041e+00 2.406666666666666763e-03 4.593333333333333816e-03 3.386666666666666731e-03 3.286666666666666903e-03 3.279999999999999930e-03
-1.792000000000000037e+00 2.446666666666666868e-03 4.313333333333333082e-03 3.300000000000000416e-03 3.213333333333333233e-03 3.206666666666666693e-03
-1.788000000000000034e+00 2.493333333333333079e-03 4.086666666666666399e-03 3.226666666666666312e-03 3.160000000000000048e-03 3.153333333333333075e-03
-1.784000000000000030e+00 2.546666666666666697e-03 3.900000000000000255e-03 3.173333333333333561e-03 3.119999999999999944e-03 3.113333333333332970e-03
-1.780000000000000027e+00 2.620000000000000367e-03 3.746666666666666808e-03 3.133333333333333456e-03 3.086666666666666378e-03 3.079999999999999839e-03
-1.776000000000000023e+00 2.686666666666666630e-03 3.619999999999999954e-03 3.099999999999999891e-03 3.073333333333333733e-03 3.066666666666666759e-03
-1.772000000000000020e+00 2.746666666666666787e-03 3.520000000000000125e-03 3.086666666666666378e-03 3.066666666666666759e-03 3.060000000000000220e-03
-1.768000000000000016e+00 2.786666666666666459e-03 3.439999999999999915e-03 3.079999999999999839e-03 3.066666666666666759e-03 3.066666666666666759e-03
-1.764000000000000012e+00 2.793333333333333432e-03 3.379999999999999758e-03 3.079999999999999839e-03 3.079999999999999839e-03 3.079999999999999839e-03
-1.760000000000000009e+00 2.786666666666666459e-03 3.339999999999999653e-03 3.093333333333333351e-03 3.099999999999999891e-03 3.099999999999999891e-03
-1.756000000000000005e+00 2.759999999999999867e-03 3.306666666666666522e-03 3.119999999999999944e-03 3.133333333333333456e-03 3.133333333333333456e-03
-1.752000000000000002e+00 2.739999999999999814e-03 3.293333333333333442e-03 3.153333333333333075e-03 3.180000000000000101e-03 3.180000000000000101e-03
-1.747999999999999998e+00 2.720000000000000195e-03 3.279999999999999930e-03 3.193333333333333180e-03 3.233333333333333285e-03 3.239999999999999825e-03
-1.743999999999999995e+00 2.706666666666666683e-03 3.266666666666666417e-03 3.253333333333333337e-03 3.293333333333333442e-03 3.306666666666666522e-03
-1.739999999999999991e+00 2.686666666666666630e-03 3.260000000000000311e-03 3.320000000000000034e-03 3.373333333333333652e-03 3.393333333333333271e-03
-1.735999999999999988e+00 2.673333333333333117e-03 3.253333333333333337e-03 3.400000000000000244e-03 3.466666666666666508e-03 3.500000000000000073e-03
-1.731999999999999984e+00 2.666666666666666578e-03 3.253333333333333337e-03 3.500000000000000073e-03 3.579999999999999849e-03 3.619999999999999954e-03
-1.727999999999999980e+00 2.666666666666666578e-03 3.260000000000000311e-03 3.619999999999999954e-03 3.719999999999999783e-03 3.773333333333333400e-03
-1.723999999999999977e+00 2.680000000000000090e-03 3.266666666666666417e-03 3.759999999999999887e-03 3.886666666666666742e-03 3.946666666666666899e-03
-1.719999999999999973e+00 2.693333333333333603e-03 3.293333333333333442e-03 3.913333333333333768e-03 4.086666666666666399e-03 4.159999999999999636e-03
